Column1;Column2;Column3;Column4;Column5
;ΕΣΟΔΑ;1304827000000;1107649000000;798039000000
11;Φόροι;62055000000;56597000000;51579000000
12;Κοινωνικές εισφορές;60000000;56000000;55000000
13;Μεταβιβάσεις;8131000000;7960000000;7953000000
14;Πωλήσεις αγαθών και υπηρεσιών;2405000000;5547000000;2405000000
15;Λοιπά τρέχοντα έσοδα;2775000000;2555000000;1869000000
31;Πάγια Περιουσιακά Στοιχεία;37000000;23000000;24000000
43;Χρεωστικοί τίτλοι;11000000;11000000;23000000
45;"Συμμετοχικοί τίτλοι και μερίδια επενδυτικών
κεφαλαίων";467000000;1095000000;387000000
52;Υποχρεώσεις από νόμισμα και καταθέσεις;66000000;55000000;44000000
53;Χρεωστικοί τίτλοι (υποχρεώσεις);25973000000;28205000000;31554000000
54;Δάνεια;1202027000000;1004195000000;701846000000
57;Χρηματοοικονομικά παράγωγα;800000000;1350000000;300000000
;ΕΞΟΔΑ;1307907506000;1108188270000;806878193000
21;Παροχές σε εργαζομένους;14889199000;14849625000;13795795000
22;Κοινωνικές παροχές;425136000;410540000;397439000
23;Μεταβιβάσεις;34741365000;33228722000;32475557000
24;Αγορές αγαθών και υπηρεσιών;2039542000;1792020000;1540686000
25;Επιδοτήσεις;80630000;80600000;80300000
26;Τόκοι;7701101000;7701105000;5851155000
27;Λοιπές δαπάνες;101553000;111364000;81257000
29;Πιστώσεις υπό κατανομή;17283053000;14835189000;15117638000
31;Πάγια περιουσιακά στοιχεία;2609600000;2727126000;2530934000
33;Τιμαλφή;85000;81000;62000
44;Δάνεια;3741000000;2031000000;3394000000
45;"Συμμετοχικοί τίτλοι και μερίδια επενδυτικών
κεφαλαίων";1755112000;1557768000;1058240000
53;Χρεωστικοί τίτλοι (υποχρεώσεις);19375000000;26610000000;27924000000
54;Δάνεια;1203165130000;1002253130000;702631130000
; ΑΠΟΤΕΛΕΣΜΑ ΚΡΑΤΙΚΟΥ ΠΡΟΫΠΟΛΟΓΙΣΜΟΥ (ΕΣΟΔΑ - ΕΞΟΔΑ);-3080506000;-539270000;-8839193000
